177.507095 -91.454361     9244.180664 2692.735840     2713.409668 9298.996094     
179.242661 -91.953682     9192.395508 2752.699951     2774.154053 9248.125977     
180.988327 -92.449776     9140.106445 2812.502441     2834.758301 9196.758789     
182.744095 -92.942543     9087.310547 2872.138672     2895.218506 9144.893555     
184.509964 -93.431900     9034.009766 2931.604248     2955.530518 9092.529297     
186.285965 -93.917755     8980.203125 2990.894775     3015.689941 9039.666016     
188.072098 -94.400009     8925.889648 3050.005127     3075.692627 8986.302734     
189.868362 -94.878571     8871.069336 3108.930664     3135.534424 8932.439453     
191.674759 -95.353348     8815.741211 3167.666748     3195.210693 8878.075195     
193.491302 -95.824234     8759.906250 3226.208496     3254.717285 8823.208984     
195.318008 -96.291138     8703.563477 3284.551025     3314.049561 8767.840820     
197.154861 -96.753960     8646.712891 3342.689209     3373.203125 8711.970703     
199.001877 -97.212601     8589.354492 3400.618164     3432.173340 8655.598633     
200.859039 -97.666962     8531.489258 3458.332764     3490.955566 8598.723633     
202.726364 -98.116936     8473.116211 3515.828125     3549.545166 8541.344727     
204.603836 -98.562416     8414.235352 3573.098877     3607.937744 8483.462891     
206.491455 -99.003304     8354.846680 3630.140137     3666.128418 8425.077148     
208.389221 -99.439507     8294.950195 3686.946289     3724.112549 8366.187500     
210.297119 -99.870903     8234.546875 3743.512207     3781.885254 8306.794922     
212.215149 -100.297394     8173.637207 3799.832764     3839.441406 8246.898438     
214.143311 -100.718864     8112.221191 3855.902588     3896.776367 8186.497559     
216.081589 -101.135216     8050.299316 3911.716064     3953.885010 8125.592773     
218.029968 -101.546333     7987.871582 3967.267578     4010.762207 8064.184082     
219.988449 -101.952103     7924.939453 4022.551758     4067.403076 8002.271973     
221.957016 -102.352417     7861.502930 4077.562988     4123.802246 7939.855957     
223.935638 -102.747162     7797.562988 4132.295898     4179.955078 7876.937012     
225.924332 -103.136223     7733.120605 4186.744629     4235.855957 7813.515137     
227.923050 -103.519493     7668.176758 4240.903320     4291.499512 7749.590820     
229.931763 -103.896851     7602.731934 4294.766113     4346.880859 7685.164551     
231.950485 -104.268188     7536.787598 4348.327637     4401.994629 7620.236328     
233.979172 -104.633377     7470.344727 4401.582031     4456.834961 7554.807129     
236.017807 -104.992317     7403.404297 4454.523438     4511.396484 7488.877441     
238.066360 -105.344872     7335.967773 4507.145508     4565.674316 7422.448242     
240.124817 -105.690933     7268.036621 4559.442871     4619.662109 7355.520020     
242.193130 -106.030373     7199.612305 4611.409180     4673.354980 7288.093750     
244.271271 -106.363075     7130.696777 4663.038574     4726.747070 7220.169922     
246.359222 -106.688927     7061.291016 4714.325195     4779.832520 7151.750000     
248.456924 -107.007805     6991.396973 4765.262695     4832.605469 7082.834961     
250.564346 -107.319580     6921.016602 4815.844727     4885.060547 7013.426270     
252.681458 -107.624130     6850.152344 4866.065430     4937.191895 6943.524414     
254.808212 -107.921333     6778.805664 4915.918945     4988.993164 6873.131348     
256.944580 -108.211060     6706.979004 4965.398438     5040.458984 6802.248047     
259.090485 -108.493187     6634.674805 5014.498047     5091.583496 6730.876465     
261.245911 -108.767593     6561.895020 5063.211426     5142.360352 6659.018066     
263.410767 -109.034157     6488.642578 5111.532227     5192.784180 6586.673828     
265.585052 -109.292755     6414.919434 5159.454590     5242.848633 6513.846191     
267.768707 -109.543251     6340.729004 5206.971680     5292.547363 6440.537109     
269.961639 -109.785522     6266.073730 5254.077637     5341.874512 6366.748047     
272.163818 -110.019447     6190.956543 5300.766113     5390.823730 6292.481445     
274.375153 -110.244896     6115.380859 5347.030273     5439.389160 6217.739258     
276.595612 -110.461731     6039.349609 5392.864258     5487.564453 6142.523438     
278.825104 -110.669838     5962.866211 5438.261230     5535.343262 6066.836914     
281.063568 -110.869095     5885.934082 5483.215332     5582.719727 5990.682129     
283.310913 -111.059357     5808.556641 5527.719727     5629.687500 5914.061523     
285.567108 -111.240517     5730.737793 5571.768555     5676.240234 5836.977539     
287.832062 -111.412437     5652.481445 5615.355469     5722.371582 5759.433105     
290.105682 -111.574989     5573.791504 5658.474121     5768.075195 5681.431152     
292.387878 -111.728058     5494.671875 5701.117676     5813.344727 5602.975098     
294.678589 -111.871506     5415.126953 5743.280762     5858.173828 5524.067871     
296.977753 -112.005219     5335.161133 5784.956055     5902.556152 5444.712891     
299.285217 -112.129066     5254.778809 5826.138184     5946.485352 5364.913086     
301.600952 -112.242920     5173.984863 5866.820801     5989.955566 5284.672852     
303.924805 -112.346664     5092.783691 5906.997559     6032.959473 5203.995117     
306.256714 -112.440170     5011.180176 5946.662109     6075.491699 5122.883789     
308.596558 -112.523323     4929.179688 5985.809082     6117.544922 5041.342773     
310.944244 -112.595993     4846.787109 6024.431641     6159.113770 4959.376465     
313.299683 -112.658066     4764.007324 6062.523926     6200.191406 4876.988770     
315.662750 -112.709427     4680.846680 6100.080078     6240.771484 4794.184082     
318.033325 -112.749954     4597.310059 6137.094727     6280.847656 4710.966797     
320.411285 -112.779526     4513.403320 6173.561523     6320.414062 4627.341797     
322.796539 -112.798027     4429.132324 6209.474609     6359.464355 4543.313477     
325.188965 -112.805351     4344.503418 6244.828125     6397.992188 4458.886719     
327.588409 -112.801384     4259.521973 6279.616699     6435.991211 4374.066895     
329.994781 -112.786003     4174.195312 6313.835449     6473.455078 4288.858887     
332.407959 -112.759109     4088.528809 6347.478027     6510.378418 4203.267578     
334.827789 -112.720596     4002.529297 6380.539062     6546.754883 4117.298828     
337.254150 -112.670349     3916.203369 6413.013672     6582.578125 4030.958252     
339.686920 -112.608269     3829.558105 6444.896484     6617.842285 3944.251465     
342.125946 -112.534256     3742.600098 6476.182129     6652.541992 3857.184326     
344.571075 -112.448212     3655.336182 6506.865723     6686.670898 3769.762695     
347.022186 -112.350029     3567.773682 6536.942383     6720.223145 3681.993164     
349.479126 -112.239616     3479.919922 6566.407715     6753.193359 3593.881348     
351.941742 -112.116875     3391.782227 6595.256348     6785.575684 3505.434082     
354.409912 -111.981720     3303.368164 6623.484375     6817.364258 3416.657959     
356.883423 -111.834068     3214.685547 6651.086914     6848.554199 3327.559570     
359.362183 -111.673828     3125.741455 6678.059570     6879.139648 3238.145752     
361.846008 -111.500908     3036.544189 6704.398438     6909.115723 3148.423340     
364.334747 -111.315239     2947.101562 6730.099609     6938.477051 3058.399902     
366.828217 -111.116737     2857.421631 6755.159180     6967.218750 2968.082031     
369.326263 -110.905327     2767.512451 6779.572754     6995.335449 2877.477539     
371.828766 -110.680931     2677.382324 6803.336914     7022.822266 2786.593750     
374.335510 -110.443481     2587.039551 6826.448242     7049.674805 2695.438477     
376.846344 -110.192917     2496.492432 6848.903809     7075.888184 2604.019287     
379.361115 -109.929161     2405.749268 6870.700195     7101.458008 2512.343994     
381.879639 -109.652168     2314.819092 6891.833984     7126.379883 2420.420654     
384.401733 -109.361870     2223.709961 6912.302734     7150.649414 2328.257324     
386.927216 -109.058220     2132.430908 6932.104004     7174.262695 2235.862305     
389.455933 -108.741165     2040.990601 6951.234375     7197.215332 2143.244141     
391.987701 -108.410660     1949.397583 6969.691895     7219.503906 2050.410889     
394.522369 -108.066650     1857.661133 6987.474609     7241.124512 1957.371338     
397.059723 -107.709099     1765.789917 7004.580078     7262.073730 1864.134033     
399.599609 -107.337967     1673.792969 7021.006836     7282.348633 1770.707764     
402.141846 -106.953224     1581.679077 7036.752441     7301.944824 1677.101318     
404.686218 -106.554840     1489.457397 7051.815918     7320.860352 1583.323486     
407.232574 -106.142784     1397.136963 7066.195801     7339.091797 1489.383423     
409.780731 -105.717033     1304.726929 7079.890625     7356.636719 1395.290161     
412.330505 -105.277573     1212.236328 7092.899414     7373.492676 1301.052734     
414.881714 -104.824379     1119.674316 7105.221680     7389.656738 1206.680542     
417.434174 -104.357437     1027.049927 7116.856934     7405.126953 1112.182739     
419.987701 -103.876740     934.372192 7127.804199     7419.901855 1017.568542     
422.542114 -103.382278     841.650330 7138.062988     7433.979004 922.847412     
425.097229 -102.874054     748.893433 7147.633301     7447.356445 828.028748     
427.652863 -102.352066     656.110596 7156.515625     7460.033203 733.122009     
430.208832 -101.816315     563.310913 7164.709473     7472.008301 638.136780     
432.764984 -101.266808     470.503387 7172.215820     7483.280273 543.082458     
435.321106 -100.703560     377.697052 7179.034668     7493.848145 447.968628     
437.877045 -100.126579     284.900879 7185.167480     7503.710938 352.804871     
440.432587 -99.535889     192.123840 7190.614258     7512.868164 257.600739     
442.987579 -98.931503     99.374840 7195.376465     7521.320312 162.365814     
445.541840 -98.313454     6.662746 7199.455566     7529.065918 67.109688     
448.095215 -97.681763     -86.003624 7202.852539     7536.105957 -28.158075     
450.647491 -97.036461     -178.615524 7205.568359     7542.440430 -123.427917     
453.198517 -96.377579     -271.164246 7207.605469     7548.070312 -218.690292     
455.748108 -95.705154     -363.641205 7208.965820     7552.995117 -313.935669     
458.296082 -95.019234     -456.037781 7209.651367     7557.216309 -409.154572     
460.842285 -94.319855     -548.345459 7209.663574     7560.734863 -504.337555     
463.386566 -93.607063     -640.555908 7209.005371     7563.551758 -599.475159     
465.928741 -92.880913     -732.660706 7207.679199     7565.668457 -694.558044     
468.468628 -92.141441     -824.651611 7205.687012     7567.086426 -789.576904     
471.006073 -91.388710     -916.520508 7203.032227     7567.807129 -884.522461     
473.540924 -90.622780     -1008.259216 7199.717285     7567.832520 -979.385498     
476.072998 -89.843704     -1099.859863 7195.745117     7567.165039 -1074.156860     
478.602173 -89.051552     -1191.314453 7191.118652     7565.806641 -1168.827515     
481.128265 -88.246376     -1282.615234 7185.841309     7563.759766 -1263.388428     
483.651123 -87.428246     -1373.754395 7179.916504     7561.026855 -1357.830688     
486.170624 -86.597237     -1464.724487 7173.347656     7557.610840 -1452.145508     
488.686584 -85.753418     -1555.517944 7166.138184     7553.514160 -1546.324219     
491.198883 -84.896858     -1646.127441 7158.291992     7548.740234 -1640.358154     
493.707367 -84.027641     -1736.545776 7149.812500     7543.291992 -1734.238647     
496.211884 -83.145836     -1826.765625 7140.704102     7537.172363 -1827.957397     
498.712280 -82.251526     -1916.779907 7130.970215     7530.385742 -1921.505859     
501.208466 -81.344788     -2006.581787 7120.615234     7522.934570 -2014.875854     
503.700226 -80.425705     -2096.164307 7109.643066     7514.823242 -2108.059326     
506.187500 -79.494362     -2185.520996 7098.058105     7506.055664 -2201.048340     
508.670135 -78.550850     -2274.645264 7085.864746     7496.635742 -2293.834961     
511.147980 -77.595253     -2363.530273 7073.066895     7486.567383 -2386.411133     
513.620911 -76.627663     -2452.169922 7059.669922     7475.854980 -2478.769531     
